"region","district","L3","L4","L5","lon","lat"
"Iburasirazuba","Kirehe","Kigarama","Nyakerera","Ruhandagazi",30.6848050757935,-2.35019208148062
"Amajyepfo","Nyanza","Kigoma","Gasoro","Sholi",29.7816500639983,-2.30517989307515
"Iburasirazuba","Kayonza","Murundi","Ryamanyoni","Ryakirenzi Ii",30.5063127013754,-1.788984548967
"Amajyaruguru","Burera","Cyanika","Kabyiniro","Nyagisenyi",29.7250263789353,-1.38390697961869
"Iburengerazuba","Ngororero","Muhororo","Myiha","Myiha",29.6236881170325,-1.89515174144156
"Iburasirazuba","Kayonza","Murundi","Buhabwa","Mucucu",30.6617279205134,-1.67338075469649
"Amajyepfo","Nyamagabe","Tare","Kaganza","Bivumu",29.4960940262724,-2.51248999789671
"Iburasirazuba","Gatsibo","Rwimbogo","Munini","Gikobwa",30.7090546072912,-1.55664771968451
"Amajyepfo","Gisagara","Mamba","Kabumbwe","Kirwa",29.9597666545817,-2.46260647891741
"Iburengerazuba","Nyabihu","Rambura","Guriro","Raro",29.5313505606078,-1.67083025980774
"Iburasirazuba","Bugesera","Musenyi","Musenyi","Gakomeye",30.0426657338519,-2.18130819262764
"Iburengerazuba","Rutsiro","Nyabirasi","Ngoma","Nkuna",29.3805646144069,-1.76418325651147
"Iburasirazuba","Ngoma","Rukira","Kibatsi","Korandebe",30.6326981312899,-2.1376346676234
"Iburengerazuba","Rusizi","Butare","Nyamihanda","Kenya",29.1630036426895,-2.51405238606076
"Amajyaruguru","Rulindo","Tumba","Barari","Rukore",29.9410560879065,-1.70646266852076
"Amajyepfo","Muhanga","Muhanga","Kanyinya","Gakomeye",29.686816476825,-2.04922997560051
"Iburasirazuba","Nyagatare","Tabagwe","Tabagwe","Gasheshe",30.2046743378282,-1.29413367215709
"Iburasirazuba","Kirehe","Mpanga","Nasho","Busasamana Ii",30.8534075502634,-2.06102932482822
"Iburengerazuba","Nyamasheke","Gihombo","Butare","Nyakabungo",29.2435553422203,-2.18733504565511
"Amajyepfo","Nyamagabe","Kaduha","Kavumu","Biziguro",29.502604703158,-2.36579391087166
"Amajyaruguru","Rulindo","Kinihira","Marembo","Kiyebe",29.9478098899313,-1.65915139468793
"Iburasirazuba","Kirehe","Nasho","Rugoma","Rugoma",30.6889917078192,-2.1134131964233
"Amajyaruguru","Burera","Rugarama","Cyahi","Tatiro",29.7182563419967,-1.41091366502736
"Amajyepfo","Nyaruguru","Kivu","Gahurizo","Gasezo",29.4152332424457,-2.60208536603163
"Amajyaruguru","Gakenke","Muhondo","Bwenda","Nketsi",29.8960630798896,-1.85718662137443
"Umujyi wa Kigali","Gasabo","Kimihurura","Kamukina","Nyenyeri",30.0942491561348,-1.94941328414068
"Amajyepfo","Nyaruguru","Ngera","Nyanza","Mpinga",29.7238593746324,-2.70872449816204
"Iburasirazuba","Nyagatare","Karangazi","Ndama","Akayange",30.5874968906928,-1.37945037088582
"Amajyaruguru","Musanze","Kinigi","Nyabigoma","Gasizi",29.5471710239944,-1.43177456384566
"Amajyepfo","Nyamagabe","Uwinkingi","Munyege","Gahango",29.5005319884839,-2.47640466360143
"Amajyepfo","Kamonyi","Nyamiyaga","Kabashumba","Ruyumba",29.9052117645029,-2.07616156897379
"Iburasirazuba","Kayonza","Mwiri","Nyamugari","Kigarama",30.6234728039674,-1.86239184204934
"Iburengerazuba","Nyamasheke","Cyato","Bisumo","Rugarama",29.2258204942629,-2.39491491329745
"Iburasirazuba","Kirehe","Mushikiri","Rugarama","Rwamunana",30.6709958656433,-2.13803374925805
"Amajyepfo","Kamonyi","Mugina","Nteko","Ntasi",29.9862774508554,-2.08823712781342
"Amajyepfo","Kamonyi","Musambira","Mpushi","Nyarurama",29.8173573948076,-2.01437646134421
"Iburengerazuba","Rusizi","Butare","Nyamihanda","Kenya",29.1787213595929,-2.49386407414721
"Iburengerazuba","Nyabihu","Rurembo","Gahondo","Bihira",29.5786196318599,-1.63518058548505
"Iburasirazuba","Kayonza","Ndego","Byimana","Nyakabingo",30.6821382001392,-2.01185450301198
"Amajyaruguru","Gakenke","Busengo","Byibuhiro","Karambi",29.6979202265007,-1.63860671211296
"Iburasirazuba","Kayonza","Murundi","Karambi","Bugarura",30.4657547164304,-1.69834490441712
"Amajyepfo","Gisagara","Gikonko","Cyiri","Cyimpuga",29.8854470664285,-2.45287434007813
"Amajyepfo","Kamonyi","Mugina","Mbati","Mbati",29.9592690881603,-2.09925543768168
"Amajyaruguru","Gicumbi","Shangasha","Nyabishambi","Rutete",30.0716635380777,-1.55664034172248
"Iburengerazuba","Nyabihu","Karago","Busoro","Kageshi",29.4503266470571,-1.63393877738128
"Iburengerazuba","Rusizi","Butare","Butanda","Mwoya",29.0798134029464,-2.55398516500844
"Iburasirazuba","Kirehe","Kigarama","Nyakerera","Ryamukaza",30.6848579471402,-2.38177118971229
"Iburengerazuba","Karongi","Murundi","Nyamushishi","Remera",29.5877949081418,-2.07537546476226
"Iburasirazuba","Kayonza","Murundi","Buhabwa","Murundi",30.5288228351746,-1.67420835112922
"Iburasirazuba","Gatsibo","Kiramuruzi","Gakenke","Nyakagarama",30.4432481199554,-1.79959766567639
"Amajyepfo","Nyaruguru","Ruheru","Uwumusebeya","Uwimbogo",29.3819497057776,-2.81858678249324
"Iburasirazuba","Nyagatare","Karama","Ndego","Gakirage",30.1415618042436,-1.36789389264085
"Amajyepfo","Nyamagabe","Buruhukiro","Kizimyamuriro","Tantamara",29.3541585897171,-2.43218661763143
"Iburasirazuba","Ngoma","Sake","Rukoma","Nyarurembo",30.3850194526498,-2.2208134893224
"Iburengerazuba","Ngororero","Sovu","Rutovu","Rukeri",29.5404165299525,-1.91692665760035
"Amajyepfo","Nyanza","Ntyazo","Kagunga","Nyakabungo",29.8583784936409,-2.42327600531844
"Amajyaruguru","Rulindo","Rukozo","Mberuka","Kabera",29.9455596970182,-1.63882358797822
"Amajyepfo","Nyanza","Ntyazo","Kagunga","Nyakabungo",29.8583747178883,-2.42101882000416
"Amajyaruguru","Gicumbi","Muko","Ngange","Gasharu",30.2360335336941,-1.72300659594194
"Iburengerazuba","Karongi","Gitesi","Gasharu","Kinyami",29.4348189264042,-2.15747131700234
"Amajyaruguru","Gakenke","Ruli","Busoro","Kibirizi",29.8510129339626,-1.78679114714284
"Iburasirazuba","Ngoma","Rukumberi","Rubona","Maswa Ii",30.3083895314846,-2.17717677091577
"Amajyaruguru","Burera","Bungwe","Bushenya","Gifumba",29.9681185620592,-1.47662106629514
"Amajyepfo","Gisagara","Nyanza","Umubanga","Urukeri",29.7645349936349,-2.77231083650655
"Iburasirazuba","Kayonza","Mukarange","Rugendabari","Rutare",30.5491686788372,-1.92475467623837
"Iburengerazuba","Nyabihu","Kabatwa","Batikoti","Sake",29.4008289239642,-1.54769931591665
"Amajyaruguru","Rulindo","Murambi","Mugambazi","Gahama",30.0311329654398,-1.79535983520862
"Amajyepfo","Nyamagabe","Cyanika","Kiyumba","Kaviri",29.6108121725801,-2.46612097985928
"Amajyepfo","Nyanza","Muyira","Nyamure","Cyegera",29.7997297629857,-2.3527508129987
"Amajyaruguru","Gicumbi","Shangasha","Nyabubare","Nyamiyaga",30.0986964376359,-1.51857168379024
"Amajyepfo","Nyaruguru","Rusenge","Mariba","Miko",29.6179916854292,-2.6829299648263
"Iburasirazuba","Nyagatare","Rwimiyaga","Kabeza","Rukiri I",30.447960448782,-1.24263672884088
"Iburengerazuba","Ngororero","Kabaya","Kabaya","Rebero",29.5403615116385,-1.76119243385986
"Iburasirazuba","Kirehe","Nyamugari","Nyamugari","Umunezero",30.7658042555417,-2.28111033609659
"Iburengerazuba","Nyamasheke","Kagano","Mubumbano","Makoko",29.1132374815834,-2.3487579034348
"Iburasirazuba","Kayonza","Murundi","Buhabwa","Mucucu",30.7495890859088,-1.70364558890809
"Amajyaruguru","Musanze","Remera","Kamisave","Ryampunga",29.7114444831371,-1.54396902471219
"Iburasirazuba","Bugesera","Rilima","Kimaranzara","Kidogo",30.2205263046519,-2.14922235019696
"Amajyepfo","Nyaruguru","Nyabimata","Kabere","Nyarunazi",29.4559777967917,-2.71083745626843
"Iburasirazuba","Nyagatare","Nyagatare","Bushoga","Ryinkuyu",30.3217206556605,-1.36980556814457
"Amajyepfo","Muhanga","Shyogwe","Mubuga","Nyamaganda",29.7611792290747,-2.13119200048992
"Iburasirazuba","Bugesera","Ruhuha","Ruhuha","Ruhuha Ii",30.0585954471485,-2.31009027959265
"Iburasirazuba","Nyagatare","Musheri","Rugarama Ii","Rebero",30.4120902162983,-1.10244702029059
"Amajyepfo","Nyaruguru","Ruheru","Uwumusebeya","Uwimbogo",29.3706896854432,-2.81623043815506
"Umujyi wa Kigali","Gasabo","Rusororo","Ruhanga","Rugende",30.2406193859927,-1.94637907625449
"Amajyaruguru","Gakenke","Busengo","Kirabo","Munyinya",29.738438487012,-1.6638283536414
"Amajyepfo","Muhanga","Nyarusange","Ngaru","Gitega",29.6260878995525,-2.10508032947366
"Iburasirazuba","Gatsibo","Rwimbogo","Munini","Gikobwa",30.5626467095785,-1.50544750253862
"Iburengerazuba","Nyamasheke","Cyato","Mutongo","Rutiritiri",29.2078944516687,-2.44443723039525
"Umujyi wa Kigali","Gasabo","Rusororo","Mbandazi","Rugarama",30.2248392470287,-1.91914736687516
"Amajyepfo","Muhanga","Kiyumba","Rukeri","Musagara",29.7925060170043,-1.86519338241557
"Iburengerazuba","Karongi","Gashari","Musasa","Rasaniro",29.5383411598658,-2.14488711259718
"Iburasirazuba","Gatsibo","Murambi","Rwimitereri","Byimana",30.3554117537631,-1.80770261896834
"Amajyepfo","Nyamagabe","Kitabi","Kagano","Kintobo",29.3925999506614,-2.53639943770075
"Iburasirazuba","Nyagatare","Nyagatare","Rutaraka","Rutaraka",30.3555167368841,-1.35212707078885
"Iburasirazuba","Ngoma","Remera","Bugera","Rubumba",30.5154928364756,-2.07100920291952
"Iburengerazuba","Rusizi","Butare","Nyamihanda","Kenya",29.2013340355195,-2.5550376349446
"Iburasirazuba","Nyagatare","Matimba","Bwera","Bwera",30.4255509621734,-1.1431805318039
"Umujyi wa Kigali","Nyarugenge","Mageregere","Ntungamo","Akanakamageragere",29.9930019309047,-2.05445552123727
"Iburengerazuba","Rutsiro","Nyabirasi","Busuku","Gacaca",29.3738093063165,-1.74154755998802
"Iburasirazuba","Kirehe","Kigarama","Kigarama","Nyarutojo",30.700575757624,-2.35035431339805
"Amajyepfo","Nyaruguru","Cyahinda","Muhambara","Nyagatovu",29.5776719404966,-2.7706290583124
"Amajyaruguru","Burera","Gahunga","Nyangwe","Ntenyo",29.6889833804721,-1.42641406874378
"Iburasirazuba","Kayonza","Murundi","Buhabwa","Mucucu",30.6887660560857,-1.61504873767418
"Amajyepfo","Nyaruguru","Nyabimata","Mishungero","Mishungero",29.3885315818047,-2.74637595434634
"Iburasirazuba","Gatsibo","Rwimbogo","Munini","Gikobwa",30.6910282704739,-1.56997870599004
"Amajyepfo","Ruhango","Mbuye","Kizibere","Biraro",29.8174896673655,-2.15881457555642
"Iburengerazuba","Nyabihu","Kabatwa","Ngando","Ruhango",29.4278266248137,-1.58858377808597
"Iburengerazuba","Rusizi","Butare","Nyamihanda","Munkamba",29.1495575321295,-2.54555362562125
"Iburasirazuba","Rwamagana","Fumbwe","Nyagasambu","Mataba",30.2856161373943,-1.86337286520223
"Amajyaruguru","Gicumbi","Muko","Ngange","Kimpongo",30.2405362881932,-1.70951909035869
"Iburasirazuba","Kirehe","Mahama","Mwoga","Kwisha",30.8424142526687,-2.28416612495609
"Iburengerazuba","Rutsiro","Gihango","Murambi","Gashihe",29.3941421090851,-1.95392250770699
"Iburengerazuba","Rusizi","Nkungu","Gatare","Kivugiza",28.9740538526713,-2.55308044837251
"Iburasirazuba","Bugesera","Mayange","Kibenga","Kindonyi",30.0989761636542,-2.1954000523367
"Iburasirazuba","Ngoma","Kibungo","Cyasemakamba","Gatoro",30.5561343658402,-2.16165261480597
"Iburengerazuba","Ngororero","Nyange","Gaseke","Giko",29.6170534173865,-2.07113755306056
"Iburasirazuba","Nyagatare","Karangazi","Kamate","Kigazi",30.495151043729,-1.36716746234305
"Amajyepfo","Nyanza","Busoro","Masangano","Shinga",29.9527209612219,-2.27747165993822
"Umujyi wa Kigali","Gasabo","Gikomero","Gicaca","Nyagasozi",30.2473415751324,-1.88553853009805
"Amajyaruguru","Gakenke","Kamubuga","Mbatabata","Karingorera",29.7834728165635,-1.57627623561959
"Iburasirazuba","Kirehe","Mpanga","Bwiyorere","Kacyiru",30.815223493077,-2.17112106147522
"Amajyepfo","Nyamagabe","Mugano","Gitondorero","Gitondorero",29.5182988864329,-2.32304252151353
"Iburengerazuba","Nyabihu","Karago","Gatagara","Budacya",29.5493570143968,-1.66649093194523
"Iburengerazuba","Rusizi","Bweyeye","Gikungu","Kibonajoro",29.2508622459106,-2.56450384792385
"Iburasirazuba","Nyagatare","Karangazi","Kamate","Kigazi",30.4974102967412,-1.35817266594399
"Amajyepfo","Nyamagabe","Gatare","Shyeru","Ruhanga",29.4125525426184,-2.35142791692939
"Iburasirazuba","Rwamagana","Muyumbu","Bujyujyu","Yeruzalemu",30.2654259615629,-1.99626183625391
"Iburasirazuba","Bugesera","Musenyi","Musenyi","Rugando",30.0201383307395,-2.1720614445726
"Amajyaruguru","Gicumbi","Giti","Tanda","Gasharu",30.267578802061,-1.80679358344507
"Iburasirazuba","Kayonza","Kabare","Cyarubare","Kiburara",30.6460792290732,-1.99343251834053
"Iburengerazuba","Rusizi","Rwimbogo","Muhehwe","Kibare",28.9719385483829,-2.62534407320766
"Amajyaruguru","Rulindo","Base","Gitare","Gatete",29.9050325447225,-1.6564641022894
"Iburasirazuba","Bugesera","Ruhuha","Gikundamvura","Kazabagarura",30.0788585489528,-2.30803063936691
"Amajyaruguru","Musanze","Nkotsi","Ruyumba","Cyivugiza",29.6236480993456,-1.57017852408512
"Amajyepfo","Nyamagabe","Kitabi","Kagano","Uwarwubatsi",29.4330733588217,-2.51418100724875
"Iburasirazuba","Rwamagana","Gahengeri","Kanyangese","Umunini",30.3081721367608,-1.93127772202159
"Iburasirazuba","Kayonza","Mwiri","Kageyo","Kiyonza",30.69554116007,-1.81129473533841
"Iburengerazuba","Nyamasheke","Rangiro","Murambi","Bunyenyezi",29.1470270900537,-2.37389578631701
"Iburasirazuba","Nyagatare","Nyagatare","Barija","Kinihira",30.3330438343215,-1.29325307091699
"Amajyepfo","Kamonyi","Karama","Bitare","Kokobe",29.8758448890696,-1.94499083198499
"Iburengerazuba","Nyamasheke","Cyato","Murambi","Murenge",29.2122976517571,-2.38124621848123
"Iburasirazuba","Gatsibo","Kabarore","Nyabikiri","Nyabikiri",30.4139604470438,-1.58503327161359
"Iburengerazuba","Nyamasheke","Cyato","Bisumo","Munini",29.2597001749718,-2.47199269241397
"Amajyaruguru","Gicumbi","Muko","Mwendo","Kagogo",30.2405401506673,-1.74335448059824
"Iburasirazuba","Kirehe","Kigarama","Cyanya","Gakoni",30.6330722722151,-2.39928734590286
"Amajyaruguru","Gakenke","Ruli","Gikingo","Karango",29.8015029032325,-1.84497216945277
"Iburengerazuba","Ngororero","Ndaro","Kibanda","Kamina",29.5629778775933,-2.00291136343946
"Iburasirazuba","Bugesera","Ngeruka","Ngeruka","Kivugiza",30.1396694840836,-2.31539387584443
"Amajyepfo","Nyamagabe","Musange","Nyagisozi","Uwabarashi",29.540673841133,-2.21940307243198
"Amajyaruguru","Gicumbi","Byumba","Ngondore","Bukamba",30.0401441536296,-1.54278100752989
"Amajyepfo","Nyamagabe","Musange","Masagara","Mutuntu",29.5497272068024,-2.26012127463008
"Iburasirazuba","Kayonza","Rukara","Rukara","Karubamba",30.499561174242,-1.809211032954
"Amajyepfo","Nyanza","Muyira","Nyamure","Nyarugunga",29.8222335022187,-2.34619193582015
"Iburasirazuba","Gatsibo","Rwimbogo","Rwikiniro","Ndama Ii",30.5333591509495,-1.51640506507088
"Iburengerazuba","Ngororero","Muhanda","Bugarula","Gatomvu",29.4570874645422,-1.77619478462482
"Amajyepfo","Gisagara","Mamba","Ramba","Kigangazi",29.903553566104,-2.50495963289426
"Iburengerazuba","Nyabihu","Jenda","Bukinanyana","Bugarama",29.4503292420779,-1.61136958803454
"Iburasirazuba","Bugesera","Rweru","Kintambwe","Nzangwa",30.2545686321121,-2.34585709141642
"Iburasirazuba","Rwamagana","Gishali","Gati","Agatare",30.4004965517903,-1.90290512952305
"Amajyepfo","Ruhango","Kinazi","Burima","Mirambi",29.9120900807196,-2.19583480202235
"Iburengerazuba","Nyabihu","Jenda","Gasizi","Kinyengagi",29.481845118278,-1.57556420406814
"Iburasirazuba","Ngoma","Mutenderi","Kibare","Mutukura",30.4346848330317,-2.30253016052652
"Iburengerazuba","Rutsiro","Manihira","Muyira","Kagarama",29.4346296773934,-1.91141256574778
"Amajyepfo","Muhanga","Rongi","Ruhango","Rukoma",29.7204491948248,-1.81032958760318
"Amajyepfo","Huye","Kinazi","Byinza","Nyarurama",29.7953838333805,-2.449770804389
"Amajyepfo","Nyanza","Muyira","Nyamure","Gatare",29.8019709750401,-2.34600047828621
"Amajyaruguru","Rulindo","Base","Cyohoha","Nyangoyi",29.9140407823785,-1.62496842672696
"Amajyepfo","Nyanza","Kibilizi","Mututu","Kabeza",29.9122760187637,-2.33576264353271
"Iburengerazuba","Nyabihu","Muringa","Mwiyanike","Musaraba",29.5403548707309,-1.70928376726529
"Amajyepfo","Nyanza","Cyabakamyi","Karama","Nyabinombe",29.6398087074078,-2.29256218861852
"Iburasirazuba","Gatsibo","Rwimbogo","Munini","Gikobwa",30.7113088071946,-1.55216309576518
"Iburengerazuba","Rubavu","Cyanzarwe","Makurizo","Gashuha",29.33329663507,-1.64862032683733
"Iburasirazuba","Kirehe","Gahara","Nyagasenyi","Gashongora",30.54508804701,-2.32169511130708
"Iburengerazuba","Nyamasheke","Bushekeri","Buvungira","Gasebeya",29.1223624945525,-2.4323959730893
"Iburasirazuba","Gatsibo","Rwimbogo","Munini","Gikobwa",30.71133520069,-1.48452487475039
"Amajyaruguru","Gicumbi","Muko","Rebero","Ryagashaka",30.2517966636372,-1.71414706349931
"Amajyepfo","Huye","Huye","Muyogoro","Agasharu",29.6763655884685,-2.60895270095273
"Iburasirazuba","Rwamagana","Muhazi","Murambi","Yabaranda",30.4342597455991,-1.8581452985211
"Iburengerazuba","Ngororero","Muhanda","Mashya","Rubaya",29.4840967413732,-1.78096633549724
"Amajyepfo","Ruhango","Kinihira","Gitinda","Muremure",29.6193865648582,-2.15693286069071
"Iburasirazuba","Gatsibo","Rwimbogo","Munini","Gikobwa",30.6009201170589,-1.56674386540002
"Amajyepfo","Nyaruguru","Muganza","Muganza","Rambyanyana",29.4829348903246,-2.68623692615017
"Iburasirazuba","Rwamagana","Rubona","Kabuye","Cyamuyango",30.3802992418218,-2.01322515929253
"Amajyaruguru","Musanze","Shingiro","Mudende","Rutagara",29.5313779013038,-1.51737096779019
"Iburasirazuba","Nyagatare","Karangazi","Nyamirama","Kayange Ii",30.4905900969837,-1.45505929131031
"Amajyepfo","Nyanza","Ntyazo","Bugali","Nkomane",29.8786845473978,-2.44829623532276
"Amajyepfo","Nyaruguru","Rusenge","Raranzige","Karimba",29.6314207862676,-2.64692584479807
"Amajyaruguru","Burera","Kinyababa","Rutovu","Shaga",29.8286099522347,-1.34434796795175
"Iburasirazuba","Rwamagana","Munyiginya","Cyimbazi","Ntunga",30.3599879918079,-1.95662298605662
"Iburengerazuba","Nyamasheke","Gihombo","Gitwa","Gasagara",29.2390425415841,-2.1760049190667
"Iburasirazuba","Gatsibo","Kiziguro","Rubona","Tubindi",30.4454962069501,-1.78383347918781
"Iburengerazuba","Rutsiro","Musasa","Gabiro","Gitwa",29.3423962698534,-1.98053077356598
"Amajyepfo","Huye","Gishamvu","Nyakibanda","Kamabuye",29.6944373127651,-2.63846750981323
"Iburasirazuba","Kayonza","Mwiri","Kageyo","Rwisirabo II",30.6594972502299,-1.81316368984391
"Iburengerazuba","Rubavu","Busasamana","Gacurabwenge","Bukumu",29.3333058914365,-1.57865026728433
"Iburasirazuba","Kayonza","Kabare","Rubumba","Ntungamo",30.6573901109666,-2.04993331100806
"Iburengerazuba","Nyamasheke","Shangi","Shangi","Gasharu",29.0007804465117,-2.38391250340463
